cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
NGC_104,6.023792,-72.081306,305.895,-44.889,4.52,0.03,7.52,-17.45,0.16,5.253,0.008,-2.557,0.008,-0.03,6.3,0.01,-2.59,0.02,-3.19,0.02,77.52,0.17,170.83,0.17,46.02,0.17,5.47,0.01,7.51,0.0,0.12184658149451509,1.3060093664939099,0.701037543072361,-0.14429603875156796,1277.0058000000001,685.4690567223657,-137958.21457186723,in-situ,in-situ
NGC_288,13.1885,-26.582611,151.285,-89.38,8.99,0.09,12.21,-44.45,0.13,4.157,0.004,-5.705,0.004,0.45,8.26,0.0,0.05,0.0,-8.99,0.09,4.2,0.15,-48.34,0.16,50.29,0.13,1.93,0.1,12.34,0.07,0.6934438111915701,-0.4085718735962911,0.6403400571149945,-0.1356896594120427,-399.4984,626.1195270776739,-129729.84782055744,GS/E,GS/E
NGC_362,15.809416,-70.848778,301.533,-46.247,8.83,0.1,9.62,223.12,0.28,6.692,0.009,-2.533,0.009,-0.15,4.98,0.03,-5.2,0.06,-6.38,0.07,93.45,0.36,-98.32,0.33,-67.93,0.32,0.73,0.06,11.84,0.13,0.8372044514123319,-0.003777489652812771,0.38487623916126196,-0.13791084817757907,-3.693599999999992,376.3289929616371,-131853.476708583,GS/E,GS/E
Whiting_1,30.737499,-3.252778,161.618,-60.636,30.59,1.17,35.15,-130.41,1.79,-0.244,0.051,-2.019,0.042,0.06,22.41,0.54,4.73,0.18,-26.66,1.02,-246.96,6.29,32.88,6.6,-7.97,3.57,35.15,1.12,61.94,4.86,0.520962288499229,1.9482274022649118,6.969163185971766,-0.05797455862997209,1904.9616000000005,6814.3935548673,-55428.17854447912,Sag,Sag
NGC_1261,48.067543,-55.216225,270.539,-52.124,16.4,0.19,18.28,71.34,0.21,1.599,0.009,-2.064,0.009,0.06,8.08,0.0,-10.07,0.12,-12.95,0.15,-78.82,0.7,57.52,0.57,68.81,0.46,1.65,0.06,21.08,0.23,0.8742194993196767,-0.33642709842233864,0.47825161147425266,-0.11199393676171408,-328.9558,467.6307057058271,-107074.89749681567,GS/E,GS/E
Pal_1,53.3335,79.581055,130.065,19.028,11.18,0.32,17.41,-75.72,0.29,-0.257,0.026,0.019,0.029,0.17,14.98,0.2,8.09,0.23,3.64,0.11,-64.32,1.2,206.67,0.99,-24.56,1.41,14.77,0.29,18.98,0.45,0.12166538296463489,3.698398616613836,0.9821448311092424,-0.09806985155760217,3616.2653999999998,960.3335764226096,-93762.39113194527,in-situ,in-situ
AM_1,58.759586,-49.615276,258.361,-48.471,118.91,3.4,120.27,118.0,14.14,0.384,0.066,-0.196,0.082,-0.21,24.08,0.45,-77.21,2.2,-89.01,2.54,-7.19,44.37,-8.91,31.66,76.86,27.49,24.32,15.37,127.61,26.77,nan,-0.7871740876368666,6.9907817715951,-0.04328305194569314,-769.6927,6835.532039733535,-41381.9576705762,Sag,H-E
Eridanus,66.185608,-21.186781,218.106,-41.332,84.68,2.89,89.76,-22.91,0.72,0.477,0.029,-0.295,0.035,-0.23,58.21,1.71,-39.24,1.34,-55.93,1.91,-55.48,11.1,68.3,11.41,131.3,8.85,11.79,3.13,119.38,3.92,nan,1.8395603484225793,4.838858149977671,-0.042270813271651705,1798.7078000000004,4731.39786086486,-40414.178919339814,Sag,H-E
Pal_2,71.52462,31.3815,170.53,-9.072,26.17,1.28,34.19,-135.97,1.55,1.229,0.054,-1.533,0.043,0.13,33.67,1.25,4.25,0.21,-4.13,0.2,-104.05,2.14,-10.43,5.83,24.77,6.1,0.7,0.42,38.81,1.46,0.968061177556175,0.09310198831763578,0.41832584438674286,-0.0860409387278889,91.03439999999996,409.03575676940534,-82261.81667691826,GS/E,GS/E
NGC_1851,78.52816,-40.046555,244.513,-35.036,11.95,0.13,16.69,321.4,1.55,2.138,0.008,-0.67,0.008,-0.15,12.39,0.05,-8.83,0.1,-6.86,0.08,81.45,0.7,-68.15,1.19,-83.31,0.97,0.9,0.03,19.9,0.16,0.9165125697936772,-0.128017995259595,0.5564677237435681,-0.1148604756628835,-125.17500000000013,544.1098118928751,-109815.53121224979,GS/E,GS/E
NGC_1904,81.045837,-24.524416,227.23,-29.35,13.08,0.18,19.09,205.76,0.2,2.47,0.007,-1.599,0.008,0.02,15.92,0.11,-8.37,0.12,-6.41,0.09,43.71,0.39,-17.22,0.38,5.41,0.41,0.3,0.14,19.57,0.1,0.9210924710380013,0.09379323946999024,0.4070502311077798,-0.11701714391101507,91.71030000000003,398.01054981055466,-111877.47347698735,GS/E,GS/E
